"PaperId,""Title"",""Year"",""URL"",""ReferenceCount"",""CitationCount"",""InfluentialCitationCount"",""IsOpenAccess""";
"133bcd7488a3c07cb0f493a87564c30e5433768c,""Reproducible, interactive, scalable and extensible microbiome data science using QIIME 2"",""2019"",""https://www.semanticscholar.org/paper/133bcd7488a3c07cb0f493a87564c30e5433768c"",""42"",""2841"",""150"",""True""";
"fa5853fdef7d2f6bb68203d187ddacbbddc63a8b,""High-Dimensional Probability: An Introduction with Applications in Data Science"",""2020"",""https://www.semanticscholar.org/paper/fa5853fdef7d2f6bb68203d187ddacbbddc63a8b"",""4"",""426"",""95"",""False""";
"13005147965349cd6de72fe5b3d78013d1bd8427,""Eleven grand challenges in single-cell data science"",""2020"",""https://www.semanticscholar.org/paper/13005147965349cd6de72fe5b3d78013d1bd8427"",""402"",""264"",""5"",""True""";
"dd45dc3767230b70197420e1523dc0f1d7930f80,""Foundations of Data Science"",""2020"",""https://www.semanticscholar.org/paper/dd45dc3767230b70197420e1523dc0f1d7930f80"",""249"",""151"",""12"",""False""";
"0751d2fa3a54cbbb4d594f2ee47c3aa7e4003a24,""Leveraging Data Science to Combat COVID-19: A Comprehensive Review"",""2020"",""https://www.semanticscholar.org/paper/0751d2fa3a54cbbb4d594f2ee47c3aa7e4003a24"",""256"",""80"",""4"",""True""";
"c016852106ac787678105fd9dd22e57ba620517c,""Human Data Science"",""2020"",""https://www.semanticscholar.org/paper/c016852106ac787678105fd9dd22e57ba620517c"",""11"",""48"",""5"",""True""";
"feee9d1e2ff71a26c4a242111fc8c56f521b28e6,""How do Data Science Workers Collaborate? Roles, Workflows, and Tools"",""2020"",""https://www.semanticscholar.org/paper/feee9d1e2ff71a26c4a242111fc8c56f521b28e6"",""143"",""42"",""4"",""True""";
"2483ea5fe76b4cdeeb48cfa9ab03d3ec5e66f7a2,""Cybersecurity data science: an overview from machine learning perspective"",""2020"",""https://www.semanticscholar.org/paper/2483ea5fe76b4cdeeb48cfa9ab03d3ec5e66f7a2"",""210"",""41"",""4"",""True""";
"8bba999de25bfb288b3f7f88e1d907aab02638b6,""Big-Data Science in Porous Materials: Materials Genomics and Machine Learning"",""2020"",""https://www.semanticscholar.org/paper/8bba999de25bfb288b3f7f88e1d907aab02638b6"",""737"",""65"",""0"",""True""";
"62a9d4f1763c5071cb2476c100614ba9741f036b,""Data science applications to string theory"",""2020"",""https://www.semanticscholar.org/paper/62a9d4f1763c5071cb2476c100614ba9741f036b"",""233"",""38"",""1"",""False""";
"698a92ef87296b1f2649a2e7d7429090fe37244e,""Veridical Data Science"",""2020"",""https://www.semanticscholar.org/paper/698a92ef87296b1f2649a2e7d7429090fe37244e"",""76"",""32"",""2"",""False""";
"e24c0387fa0ec3c32ebc97c050c94b8b01eeadd2,""High-Dimensional Probability: An Introduction with Applications in Data Science"",""2018"",""https://www.semanticscholar.org/paper/e24c0387fa0ec3c32ebc97c050c94b8b01eeadd2"",""214"",""975"",""166"",""True""";
"ec0f5245799be14941a4584e14fff0323d60e364,""Leveraging Data Science to Combat COVID-19: A Comprehensive Review"",""2020"",""https://www.semanticscholar.org/paper/ec0f5245799be14941a4584e14fff0323d60e364"",""245"",""22"",""1"",""False""";
"f42c69dbd792155fee6f4d2c525971f8d43f138b,""Finding Related Tables in Data Lakes for Interactive Data Science"",""2020"",""https://www.semanticscholar.org/paper/f42c69dbd792155fee6f4d2c525971f8d43f138b"",""51"",""22"",""0"",""False""";
"b34c73dc7bb90468e0fe7e178ced734fc9de5343,""Veridical data science"",""2020"",""https://www.semanticscholar.org/paper/b34c73dc7bb90468e0fe7e178ced734fc9de5343"",""82"",""17"",""0"",""True""";
"6481e5cb9eb2cc5c66ca1716af77f184a600d073,""COVID-19 Is a Data Science Issue"",""2020"",""https://www.semanticscholar.org/paper/6481e5cb9eb2cc5c66ca1716af77f184a600d073"",""0"",""18"",""0"",""True""";
"c8460032834c5f94e2395cb0cf0dcb65d4c6e17b,""Data science and analytics in aviation"",""2020"",""https://www.semanticscholar.org/paper/c8460032834c5f94e2395cb0cf0dcb65d4c6e17b"",""64"",""14"",""0"",""False""";
"b79ca6fd3df135a9bcf778844be625b764fbcfb3,""Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl"",""2019"",""https://www.semanticscholar.org/paper/b79ca6fd3df135a9bcf778844be625b764fbcfb3"",""68"",""150"",""10"",""True""";
"d737e2d326519ab3ba5da17441e073ba1c7a3ef5,""Computational Optimal Transport: With Applications to Data Science"",""2019"",""https://www.semanticscholar.org/paper/d737e2d326519ab3ba5da17441e073ba1c7a3ef5"",""0"",""249"",""22"",""False""";
"d83a99bfb6f81565a186e0eb86858864568c1327,""Data Science: Challenges and Directions"",""2020"",""https://www.semanticscholar.org/paper/d83a99bfb6f81565a186e0eb86858864568c1327"",""24"",""12"",""1"",""False""";
"1ba044d3d501dddd94b479aa9dbe55a93bfa9d5f,""QIIME 2: Reproducible, interactive, scalable, and extensible microbiome data science"",""2018"",""https://www.semanticscholar.org/paper/1ba044d3d501dddd94b479aa9dbe55a93bfa9d5f"",""0"",""628"",""38"",""True""";
"9f2b2111cd65cc33c0c440f4f8e548b58d8dd851,""The State of the Art of Data Science and Engineering in Structural Health Monitoring"",""2019"",""https://www.semanticscholar.org/paper/9f2b2111cd65cc33c0c440f4f8e548b58d8dd851"",""54"",""91"",""2"",""False""";
"398b154013db9d8025bf60f910bc156dedd9b40e,""How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation"",""2019"",""https://www.semanticscholar.org/paper/398b154013db9d8025bf60f910bc156dedd9b40e"",""156"",""72"",""1"",""False""";
"89f41c87c8849ce37e609c1010087291a4679a37,""Outbreak analytics: a developing data science for informing the response to emerging pathogens"",""2019"",""https://www.semanticscholar.org/paper/89f41c87c8849ce37e609c1010087291a4679a37"",""190"",""82"",""0"",""True""";
"a11e157cb828b800426223f0a3d79e8fb122c8cc,""Process Mining for Python (PM4Py): Bridging the Gap Between Process- and Data Science"",""2019"",""https://www.semanticscholar.org/paper/a11e157cb828b800426223f0a3d79e8fb122c8cc"",""14"",""72"",""0"",""False""";
"e2055b85dab66c922ccf25a28046e8e559074824,""Algorithmic Government: Automating Public Services and Supporting Civil Servants in using Data Science Technologies"",""2019"",""https://www.semanticscholar.org/paper/e2055b85dab66c922ccf25a28046e8e559074824"",""107"",""61"",""2"",""True""";
"8ece479b5dfed4727d2d9b9763f777bb9a94096e,""Human-AI Collaboration in Data Science"",""2019"",""https://www.semanticscholar.org/paper/8ece479b5dfed4727d2d9b9763f777bb9a94096e"",""92"",""43"",""0"",""True""";
"4440fcc65213f1ad176cc11c857304ef628468c2,""Data science, artificial intelligence, and machine learning: Opportunities for laboratory medicine and the value of positive regulation."",""2019"",""https://www.semanticscholar.org/paper/4440fcc65213f1ad176cc11c857304ef628468c2"",""48"",""37"",""1"",""False""";
"f01ccfe3b0c3250d99c1f09dd4ed6579c095e1ab,""Applications of data science to game learning analytics data: A systematic literature review"",""2019"",""https://www.semanticscholar.org/paper/f01ccfe3b0c3250d99c1f09dd4ed6579c095e1ab"",""120"",""41"",""1"",""True""";
"3b16bcb226bb1c87a6e63e0658be30067ed03f57,""A Systematic Review on Supervised and Unsupervised Machine Learning Algorithms for Data Science"",""2019"",""https://www.semanticscholar.org/paper/3b16bcb226bb1c87a6e63e0658be30067ed03f57"",""129"",""36"",""0"",""False""";
"129a5609d4b00ae86f583ffbc1b3680234601b46,""Health Care and Precision Medicine Research: Analysis of a Scalable Data Science Platform"",""2019"",""https://www.semanticscholar.org/paper/129a5609d4b00ae86f583ffbc1b3680234601b46"",""33"",""38"",""0"",""False""";
"b979cf98873d5902f175f5634776e8e145cf9472,""Data science tools and applications on the way to Pharma 4.0."",""2019"",""https://www.semanticscholar.org/paper/b979cf98873d5902f175f5634776e8e145cf9472"",""76"",""34"",""1"",""False""";
"c0b1eedfa2031a69fbdf02a4abc8a741faf6a912,""INTRODUCTION TO DATA SCIENCE"",""2019"",""https://www.semanticscholar.org/paper/c0b1eedfa2031a69fbdf02a4abc8a741faf6a912"",""11"",""50"",""5"",""True""";
"5c8b7127ad0b5257f81ce1aa70b89faa97bbc211,""Data Science of the Natural Environment: A Research Roadmap"",""2019"",""https://www.semanticscholar.org/paper/5c8b7127ad0b5257f81ce1aa70b89faa97bbc211"",""76"",""29"",""0"",""True""";
